cohort	ic	genes	cytoband	in_selected_genes_list2
METABRIC	ic9	KIAA1688	8q24.3h	TRUE
METABRIC	ic9	ZNF251	8q24.3h	TRUE
METABRIC	ic9	ZNF34	8q24.3h	TRUE
METABRIC	ic9	RPL8	8q24.3h	TRUE
METABRIC	ic9	ZNF7	8q24.3h	TRUE
METABRIC	ic9	COMMD5	8q24.3h	TRUE
METABRIC	ic9	ZNF250	8q24.3h	TRUE
METABRIC	ic9	ZNF16	8q24.3h	TRUE
METABRIC	NA	KIAA0020	9p24.2b	FALSE
METABRIC	NA	GTPBP4	10p15.3c	TRUE
METABRIC	NA	PITRM1	10p15.2b	TRUE
METABRIC	NA	FBXO18	10p15.1b	TRUE
METABRIC	NA	ATP5C1	NA	FALSE
METABRIC	NA	USP6NL	10p14a	TRUE
METABRIC	NA	UPF2	10p14a	TRUE
METABRIC	NA	DHTKD1	10p14a	TRUE
METABRIC	NA	NUDT5	10p14a	TRUE
METABRIC	NA	CDC123	10p14a-p13e	TRUE
METABRIC	NA	MCM10	10p13e	TRUE
METABRIC	NA	SEPHS1	10p13d	TRUE
METABRIC	NA	HSPA14	10p13c	TRUE
METABRIC	NA	RPP38	10p13c	TRUE
METABRIC	NA	STAM	10p12.33c	TRUE
METABRIC	NA	PDSS1	10p12.1b	TRUE
METABRIC	NA	MASTL	10p12.1a	TRUE
METABRIC	NA	MTPAP	10p11.23a	TRUE
METABRIC	NA	PDHX	11p13b	TRUE
METABRIC	ic2	CLP1	11q12.1a	TRUE
METABRIC	ic2	CCS	11q13.1e	TRUE
METABRIC	ic2	SSH3	11q13.1f	TRUE
METABRIC	ic2	POLD4	11q13.1f	TRUE
METABRIC	ic2	RAD9A	11q13.1f	TRUE
METABRIC	ic2	PPP1CA	11q13.1f	TRUE
METABRIC	ic2	MTL5	11q13.2b	TRUE
METABRIC	ic2	CCND1	11q13.2c	TRUE
METABRIC	ic2	ORAOV1	11q13.2c	FALSE
METABRIC	ic2	PPFIA1	11q13.3c	TRUE
METABRIC	ic2	CTTN	11q13.3c-q13.3d	TRUE
METABRIC	ic2	NADSYN1	11q13.4a	TRUE
METABRIC	ic2	INPPL1	11q13.4a	TRUE
METABRIC	ic2	CHCHD8	11q13.4b	TRUE
METABRIC	ic2	PAAF1	11q13.4b	TRUE
METABRIC	ic2	PPME1	11q13.4c	TRUE
METABRIC	ic2	POLD3	11q13.4c	TRUE
METABRIC	ic2	SPCS2	1p35.3b;11q13.4c	TRUE
METABRIC	ic2	UVRAG	11q13.5a-q13.5b	TRUE
METABRIC	ic2	ACER3	11q13.5c	TRUE
METABRIC	ic2	PAK1	11q14.1a	TRUE
METABRIC	ic2	AQP11	11q14.1a	TRUE
METABRIC	ic2	CLNS1A	11q14.1a	TRUE
METABRIC	ic2	RSF1	11q14.1a	TRUE
METABRIC	ic2	AAMDC	11q14.1a	TRUE
METABRIC	ic2	INTS4	11q14.1a	TRUE
METABRIC	ic2	ALG8	11q14.1a	TRUE
METABRIC	ic2	KCTD21	11q14.1a	TRUE
METABRIC	ic2	USP35	11q14.1a	TRUE
METABRIC	ic2	NARS2	11q14.1a	TRUE
METABRIC	ic2	TMEM126B	11q14.1e	TRUE
METABRIC	ic2	TMEM126A	11q14.1e	TRUE
METABRIC	ic2	C11orf73	11q14.2a	FALSE
METABRIC	ic2	CHORDC1	11q14.3b	TRUE
METABRIC	NA	PANX1	11q21b	TRUE
METABRIC	NA	MRE11A	11q21b	TRUE
METABRIC	NA	TMEM123	11q22.2a	TRUE
METABRIC	NA	DCUN1D5	11q22.3a	TRUE
METABRIC	NA	ZW10	11q23.2a	TRUE
METABRIC	NA	REXO2	11q23.2b	TRUE
METABRIC	NA	PCSK7	11q23.3b	TRUE
METABRIC	NA	PIG8	11q24.2b	TRUE
METABRIC	NA	STT3A	11q24.2b	TRUE
METABRIC	NA	TULP3	12p13.33a	TRUE
METABRIC	NA	NDUFA9	12p13.32a	TRUE
METABRIC	NA	NOP2	12p13.31d	TRUE
METABRIC	NA	NUP107	12q15b	TRUE
METABRIC	NA	CCT2	12q15c	TRUE
METABRIC	NA	DQ894129	13q12.3a	TRUE
METABRIC	NA	C13orf23	13q13.3d	TRUE
METABRIC	NA	TFDP1	13q34d	TRUE
METABRIC	NA	POLR3K	16p13.3f	TRUE
METABRIC	NA	AXIN1	16p13.3f	TRUE
METABRIC	NA	RAB40C	16p13.3f	TRUE
METABRIC	NA	RHOT2	16p13.3f	TRUE
METABRIC	NA	JMJD8	16p13.3f	TRUE
METABRIC	NA	FAM173A	16p13.3f	TRUE
METABRIC	NA	IFT140	16p13.3e	TRUE
METABRIC	NA	NME3	16p13.3e	TRUE
METABRIC	NA	NUBP2	16p13.3e	TRUE
METABRIC	NA	HAGH	16p13.3e	TRUE
METABRIC	NA	FAHD1	16p13.3e	TRUE
METABRIC	NA	NTHL1	16p13.3e	TRUE
METABRIC	NA	GBL	16p13.3d	TRUE
METABRIC	NA	DCI	16p13.3d	TRUE
METABRIC	NA	RNPS1	16p13.3d	TRUE
METABRIC	NA	TCEB2	16p13.3d	FALSE
METABRIC	NA	FLYWCH2	16p13.3d	TRUE
METABRIC	NA	THOC6	16p13.3d	TRUE
METABRIC	NA	ZNF213	16p13.3d	TRUE
METABRIC	NA	ZNF263	16p13.3c	TRUE
METABRIC	NA	ZNF174	16p13.3c	TRUE
METABRIC	NA	CLUAP1	16p13.3c	TRUE
METABRIC	NA	CREBBP	16p13.3c	TRUE
METABRIC	NA	DNAJA3	16p13.3b	TRUE
METABRIC	NA	ZNF500	16p13.3b	TRUE
METABRIC	NA	ROGDI	16p13.3b	TRUE
METABRIC	NA	ABAT	16p13.2b	TRUE
METABRIC	NA	NUBP1	16p13.13d	TRUE
METABRIC	NA	DEXI	16p13.13c	TRUE
METABRIC	NA	CLEC16A	16p13.13c	TRUE
METABRIC	NA	BFAR	16p13.12a	TRUE
METABRIC	NA	C16orf63	16p13.11a	TRUE
METABRIC	NA	COQ7	16p12.3b	TRUE
METABRIC	NA	GDE1	16p12.3a	TRUE
METABRIC	NA	CP110	16p12.3a	TRUE
METABRIC	NA	IQCK	16p12.3a	TRUE
METABRIC	NA	ERI2	16p12.2c	TRUE
METABRIC	NA	LYRM1	16p12.2c	TRUE
METABRIC	NA	COG7	16p12.1c	TRUE
METABRIC	NA	EARS2	16p12.1c	TRUE
METABRIC	NA	RBBP6	16p12.1b	TRUE
METABRIC	NA	LCMT1	16p12.1b	TRUE
METABRIC	NA	KIAA0556	16p12.1a-p11.2e	TRUE
METABRIC	NA	TUFM	16p11.2e	TRUE
METABRIC	NA	C16orf53	16p11.2d	TRUE
METABRIC	NA	HIRIP3	16p11.2d	TRUE
METABRIC	NA	INO80E	16p11.2d	TRUE
METABRIC	NA	CD2BP2	16p11.2d	TRUE
METABRIC	NA	ZNF688	16p11.2c	TRUE
METABRIC	NA	PRR14	16p11.2c	TRUE
METABRIC	NA	PHKG2	16p11.2c	TRUE
METABRIC	NA	RNF40	16p11.2c	TRUE
METABRIC	NA	ORAI3	16p11.2c	TRUE
METABRIC	NA	BCKDK	16p11.2c	TRUE
METABRIC	NA	MYST1	16p11.2c	TRUE
METABRIC	NA	C16orf58	16p11.2c	TRUE
METABRIC	NA	VPS35	16q11.2i	TRUE
METABRIC	NA	C16orf87	16q11.2i	TRUE
METABRIC	NA	DNAJA2	16q12.1a	TRUE
METABRIC	NA	PHKB	16q12.1a	TRUE
METABRIC	NA	SIAH1	16q12.1b	TRUE
METABRIC	NA	HEATR3	16q12.1c	TRUE
METABRIC	NA	BRD7	16q12.1c	TRUE
METABRIC	NA	OGFOD1	16q13a-q13b	TRUE
METABRIC	NA	NUP93	16q13b	TRUE
METABRIC	NA	ARL2BP	16q13c	TRUE
METABRIC	NA	CIAPIN1	16q13c	TRUE
METABRIC	NA	COQ9	16q13c	TRUE
METABRIC	NA	KATNB1	16q13d	TRUE
METABRIC	NA	ZNF319	16q13d	TRUE
METABRIC	NA	C16orf57	16q13d	TRUE
METABRIC	NA	C16orf80	16q21a	FALSE
METABRIC	NA	CSNK2A2	16q21a	TRUE
METABRIC	NA	CNOT1	16q21a	TRUE
METABRIC	NA	DYNC1LI2	16q22.1a	TRUE
METABRIC	NA	NAE1	16q22.1a	TRUE
METABRIC	NA	FAM96B	16q22.1a	FALSE
METABRIC	NA	E2F4	16q22.1a	TRUE
METABRIC	NA	TMEM208	16q22.1a	TRUE
METABRIC	NA	EDC4	16q22.1b	TRUE
METABRIC	NA	DUS2L	16q22.1c	TRUE
METABRIC	NA	CIRH1A	16q22.1d	FALSE
METABRIC	NA	VPS4A	16q22.1d	TRUE
METABRIC	NA	NIP7	16q22.1d	TRUE
METABRIC	NA	CYB5B	16q22.1e	TRUE
METABRIC	NA	AARS	16q22.1f	TRUE
METABRIC	NA	DDX19B	16q22.1f	TRUE
METABRIC	NA	DDX19A	16q22.1f	TRUE
METABRIC	NA	SF3B3	16q22.1f	TRUE
METABRIC	NA	DHX38	16q22.3a	TRUE
METABRIC	NA	GLG1	16q22.3c	TRUE
METABRIC	NA	RFWD3	16q22.3c	TRUE
METABRIC	NA	WDR59	16q23.1a	TRUE
METABRIC	NA	KARS	16q23.1a	TRUE
METABRIC	NA	DC13	16q23.2b	TRUE
METABRIC	NA	KLHL36	16q24.1a	TRUE
METABRIC	NA	COX4I1	16q24.1b	TRUE
METABRIC	NA	FBXO31	16q24.2a	TRUE
METABRIC	NA	ANKRD11	16q24.3a-q24.3b	TRUE
METABRIC	NA	CHMP1A	16q24.3b	TRUE
METABRIC	NA	DEF8	16q24.3b	TRUE
METABRIC	NA	COPS3	17p11.2h	TRUE
METABRIC	NA	IFT20	17q11.2a	TRUE
METABRIC	NA	TNFAIP1	17q11.2a	TRUE
METABRIC	NA	POLDIP2	17q11.2a	TRUE
METABRIC	NA	TMEM199	17q11.2a	TRUE
METABRIC	NA	PIGS	17q11.2a	TRUE
METABRIC	NA	KIAA0100	17q11.2a	TRUE
METABRIC	NA	SDF2	17q11.2a	TRUE
METABRIC	NA	SUPT6H	17q11.2a	TRUE
METABRIC	NA	SNORD4A	17q11.2a	FALSE
METABRIC	NA	TLCD1	17q11.2a	TRUE
METABRIC	NA	TRAF4	17q11.2a	TRUE
METABRIC	NA	ERAL1	17q11.2a	TRUE
METABRIC	NA	FLOT2	17q11.2a	TRUE
METABRIC	NA	PHF12	17q11.2a	TRUE
METABRIC	NA	NUFIP2	17q11.2b	TRUE
METABRIC	NA	TP53I13	17q11.2b	TRUE
METABRIC	NA	GIT1	17q11.2b	TRUE
METABRIC	NA	MRPL45	17q12c	TRUE
METABRIC	NA	MLLT6	17q12c	TRUE
METABRIC	NA	PCGF2	17q12c	TRUE
METABRIC	NA	PIP4K2B	17q12c	TRUE
METABRIC	NA	CCDC49	17q12c	TRUE
METABRIC	NA	BC007367	17q12c	TRUE
METABRIC	NA	RPL19	17q12c	TRUE
METABRIC	NA	FBXL20	17q12c	TRUE
METABRIC	NA	MED1	17q12c	TRUE
METABRIC	NA	STARD3	17q12c	TRUE
METABRIC	NA	PNMT	17q12c	TRUE
METABRIC	NA	PGAP3	17q12c	TRUE
METABRIC	NA	ERBB2	17q12c	TRUE
METABRIC	NA	MIEN1	17q12c	TRUE
METABRIC	NA	GRB7	17q12c	TRUE
METABRIC	NA	GSDMB	17q12c	TRUE
METABRIC	NA	ORMDL3	17q12c	TRUE
METABRIC	NA	PSMD3	17q12c-q21.1a	TRUE
METABRIC	NA	MED24	17q21.1a-q21.1b	TRUE
